Protein,Ligand,Pose,A36SG-S1
GPX_Staphylococcus-aureus,GSH,1,8.89933908568597
GPX_Staphylococcus-aureus,GSH,2,8.941535876350382
GPX_Staphylococcus-aureus,GSH,3,7.477161551252855
GPX_Staphylococcus-aureus,GSH,4,8.455488432449128
GPX_Staphylococcus-aureus,GSH,5,7.398504868895606
GPX_Staphylococcus-aureus,GSH,6,8.496343255079447
GPX_Staphylococcus-aureus,GSH,7,8.585849512861556
GPX_Staphylococcus-aureus,GSH,8,7.482307925648476
GPX_Staphylococcus-aureus,GSH,9,7.462001837818925
GPX_Staphylococcus-aureus,GSH,10,10.474015395749856
GPX_Staphylococcus-aureus,GSH,11,9.073962261216817
GPX_Staphylococcus-aureus,GSH,12,10.132074139298233
GPX_Staphylococcus-aureus,GSH,13,8.52094818784013
GPX_Staphylococcus-aureus,GSH,14,8.178454784057621
GPX_Staphylococcus-aureus,GSH,15,10.180109236367604
GPX_Staphylococcus-aureus,GSH,16,8.583814242215988
GPX_Staphylococcus-aureus,GSH,17,8.608731399696472
GPX_Staphylococcus-aureus,GSH,18,8.902024699344864
GPX_Staphylococcus-aureus,GSH,19,8.842065235339762
GPX_Staphylococcus-aureus,GSH,20,7.6267360824917105
GPX_Staphylococcus-aureus,GSH,21,9.253947026844113
GPX_Staphylococcus-aureus,GSH,22,8.942835260903335
GPX_Staphylococcus-aureus,GSH,23,10.083594714239808
GPX_Staphylococcus-aureus,GSH,24,10.187316915095307
GPX_Staphylococcus-aureus,GSH,25,7.374707722354155
GPX_Staphylococcus-aureus,GSH,26,8.111498770231861
GPX_Staphylococcus-aureus,GSH,27,9.362168496847833
GPX_Staphylococcus-aureus,GSH,28,7.97598787318574
GPX_Staphylococcus-aureus,GSH,29,8.651262064531625
GPX_Staphylococcus-aureus,GSH,30,7.495275785700016
GPX_Staphylococcus-aureus,GSH,31,8.265433065191019
GPX_Staphylococcus-aureus,GSH,32,10.331192898477989
GPX_Staphylococcus-aureus,GSH,33,7.89852064470968
GPX_Staphylococcus-aureus,GSH,34,8.967142359952026
GPX_Staphylococcus-aureus,GSH,35,9.43398817648496
GPX_Staphylococcus-aureus,GSH,36,10.604511369550886
GPX_Staphylococcus-aureus,GSH,37,9.811776253475209
GPX_Staphylococcus-aureus,GSH,38,8.798589126974678
GPX_Staphylococcus-aureus,GSH,39,10.808780650957164
GPX_Staphylococcus-aureus,GSH,40,7.5465644608108935
GPX_Staphylococcus-aureus,GSH,41,10.283670717054003
GPX_Staphylococcus-aureus,GSH,42,9.141173499297887
GPX_Staphylococcus-aureus,GSH,43,9.208541441125679
GPX_Staphylococcus-aureus,GSH,44,10.28993906813359
GPX_Staphylococcus-aureus,GSH,45,9.040378485317195
GPX_Staphylococcus-aureus,GSH,46,9.575120227545867
GPX_Staphylococcus-aureus,GSH,47,9.536216760940052
GPX_Staphylococcus-aureus,GSH,48,9.69412110093174
GPX_Staphylococcus-aureus,GSH,49,8.86524828408122
GPX_Staphylococcus-aureus,GSH,50,9.080312381096864
GPX_Staphylococcus-aureus,GSH,51,9.286200004881975
GPX_Staphylococcus-aureus,GSH,52,8.030222099862307
GPX_Staphylococcus-aureus,GSH,53,11.253093491647663
GPX_Staphylococcus-aureus,GSH,54,7.738574206317919
GPX_Staphylococcus-aureus,GSH,55,10.353039529950468
GPX_Staphylococcus-aureus,GSH,56,8.227974408671795
GPX_Staphylococcus-aureus,GSH,57,9.79817957604952
GPX_Staphylococcus-aureus,GSH,58,7.680021193368154
GPX_Staphylococcus-aureus,GSH,59,10.89043022644395
GPX_Staphylococcus-aureus,GSH,60,9.301540753884865
GPX_Staphylococcus-aureus,GSH,61,8.11427340828857
GPX_Staphylococcus-aureus,GSH,62,9.098437222146945
GPX_Staphylococcus-aureus,GSH,63,7.606293675965122
GPX_Staphylococcus-aureus,GSH,64,8.252949010549441
GPX_Staphylococcus-aureus,GSH,65,11.40403030119006
GPX_Staphylococcus-aureus,GSH,66,8.954722503791952
GPX_Staphylococcus-aureus,GSH,67,11.82036769020338
GPX_Staphylococcus-aureus,GSH,68,8.105104468450113
GPX_Staphylococcus-aureus,GSH,69,9.66628002512735
GPX_Staphylococcus-aureus,GSH,70,9.718836575420845
GPX_Staphylococcus-aureus,GSH,71,9.978146450685166
GPX_Staphylococcus-aureus,GSH,72,8.912052086095155
GPX_Staphylococcus-aureus,GSH,73,9.77653558744717
GPX_Staphylococcus-aureus,GSH,74,9.53101775331811
GPX_Staphylococcus-aureus,GSH,75,9.583286603963435
GPX_Staphylococcus-aureus,GSH,76,9.846905835040417
GPX_Staphylococcus-aureus,GSH,77,9.951508581827882
GPX_Staphylococcus-aureus,GSH,78,10.268466485028132
GPX_Staphylococcus-aureus,GSH,79,8.898602073270835
GPX_Staphylococcus-aureus,GSH,80,9.817515119473104
GPX_Staphylococcus-aureus,GSH,81,10.01314335620009
GPX_Staphylococcus-aureus,GSH,82,9.906417107242811
GPX_Staphylococcus-aureus,GSH,83,10.172368504078241
GPX_Staphylococcus-aureus,GSH,84,9.242866886335646
GPX_Staphylococcus-aureus,GSH,85,9.203904787659042
GPX_Staphylococcus-aureus,GSH,86,7.930607794361981
GPX_Staphylococcus-aureus,GSH,87,7.886123137795972
GPX_Staphylococcus-aureus,GSH,88,11.16062458732503
GPX_Staphylococcus-aureus,GSH,89,7.722644248772438
GPX_Staphylococcus-aureus,GSH,90,9.024629065187002
